Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,Top View of Bitblaster_10bit_processor_with_RAM,
2,Page,,,,,,,,,,Page 1,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Multi-stage ALU,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Controller,
5,Text,Standard,2,,,,,,,,Clr,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Register File,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Output Logic,
8,Text,Standard,2,,,,,,,,IRin,
9,Text,Standard,2,,,,,,,,Ext,
10,Text,Standard,2,,,,,,,,ALUcont,
11,Text,Standard,2,,,,,,,,Gout,
12,Text,Standard,2,,,,,,,,Gin,
13,Text,Standard,2,,,,,,,,Ain,
14,Text,Standard,2,,,,,,,,ENR,
15,Text,Standard,2,,,,,,,,ENW,
16,Text,Standard,2,,,,,,,,Rout,
17,Text,Standard,2,,,,,,,,Rin,
18,Text,Standard,2,,,,,,,,IMM,
19,Text,Standard,2,,,,,,,,INSTR,
20,Text,Standard,2,,,,,,,,T,
21,Process,Flowchart Shapes/Containers,2,,,,,,,,Instruction Register,
22,Text,Standard,2,,,,,,,,Q,
23,Text,Standard,2,,,,,,,,D,
24,Text,Standard,2,,,,,,,,EN,
25,Isosceles triangle,Geometric Shapes,2,,,,,,,,,
26,Circle,Geometric Shapes,2,,,,,,,,,
27,Process,Flowchart Shapes/Containers,2,,,,,,,,Counter,
28,Text,Standard,2,,,,,,,,CNT,
29,Text,Standard,2,,,,,,,,CLR,
30,Isosceles triangle,Geometric Shapes,2,,,,,,,,,
31,Circle,Geometric Shapes,2,,,,,,,,,
32,Text,Standard,2,,,,,,,,DONE,
33,Text,Standard,2,,,,,,,,RDA1,
34,Text,Standard,2,,,,,,,,ENR0,
35,Text,Standard,2,,,,,,,,RDA0,
36,Text,Standard,2,,,,,,,,ENW,
37,Text,Standard,2,,,,,,,,WRA,
38,Text,Standard,2,,,,,,,,FN,
39,Text,Standard,2,,,,,,,,Gout,
40,Text,Standard,2,,,,,,,,Gin,
41,Text,Standard,2,,,,,,,,Ain,
42,Text,Standard,2,,,,,,,,OP,
43,Isosceles triangle,Geometric Shapes,2,,,,,,,,,
44,Circle,Geometric Shapes,2,,,,,,,,,
45,Text,Standard,2,,,,,,,,PEEKb,
46,Text,Standard,2,,,,,,,,TIME,
47,Text,Standard,2,,,,,,,,REG,
48,Text,Standard,2,,,,,,,,BUS,
49,Text,Standard,2,,,,,,,,THEX,
50,Text,Standard,2,,,,,,,,DHEX2,
51,Text,Standard,2,,,,,,,,DHEX1,
52,Text,Standard,2,,,,,,,,DHEX0,
53,Text,Standard,2,,,,,,,,LED_B,
54,Text,Standard,2,,,,,,,,D,
55,Process,Flowchart Shapes/Containers,2,,,,,,,,Input Logic,
56,Text,Standard,2,,,,,,,,Q0,
57,Text,Standard,2,,,,,,,,Q1,
58,Text,Standard,2,,,,,,,,RES,
59,Circle,Geometric Shapes,2,,,,,,,,,
60,Text,Standard,2,,,,,,,,LED D,
61,Circle,Geometric Shapes,2,,,,,,,,,
62,Text,Standard,2,,,,,,,,ENR1,
63,Circle,Geometric Shapes,2,,,,,,,,,
64,Circle,Geometric Shapes,2,,,,,,,,,
65,Circle,Geometric Shapes,2,,,,,,,,,
66,Circle,Geometric Shapes,2,,,,,,,,,
67,Circle,Geometric Shapes,2,,,,,,,,,
68,Text,Standard,2,,,,,,,,RawData,
69,Text,Standard,2,,,,,,,,Extrn_Enable,
70,Isosceles triangle,Geometric Shapes,2,,,,,,,,,
71,Text,Standard,2,,,,,,,,RawCLK,
72,Text,Standard,2,,,,,,,,data2bit,
73,Text,Standard,2,,,,,,,,PEEKb,
74,Text,Standard,2,,,,,,,,CLKb,
75,Circle,Geometric Shapes,2,,,,,,,,,
76,Circle,Geometric Shapes,2,,,,,,,,,
77,Text,Standard,2,,,,,,,,databus,
78,Circle,Geometric Shapes,2,,,,,,,,,
79,Isosceles triangle,Geometric Shapes,2,,,,,,,,,
80,Circle,Geometric Shapes,2,,,,,,,,,
81,Circle,Geometric Shapes,2,,,,,,,,,
82,Text,Standard,2,,,,,,,,Peek_key,
83,Circle,Geometric Shapes,2,,,,,,,,,
